n_live_cells,bounding_box_area,density,periodicity,center_of_mass_change
4,4,1.0,2,0.0
4,4,1.0,2,0.0
4,4,1.0,2,0.0
4,4,1.0,2,0.0
3,3,1.0,2,0.0
4,6,0.6666666666666666,1,0.0
1,1,1.0,1,0.0
6,9,0.6666666666666666,1,0.0
10,16,0.625,1,0.0
1,1,1.0,1,0.0
4,4,1.0,1,0.0
3,3,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
3,3,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
4,4,1.0,1,0.0
1,1,1.0,1,0.0
5,6,0.8333333333333334,1,0.0
3,4,0.75,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
3,4,0.75,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
6,8,0.75,1,0.0
3,4,0.75,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
6,9,0.6666666666666666,1,0.0
2,2,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
4,4,1.0,1,0.0
4,4,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
10,20,0.5,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
5,9,0.5555555555555556,1,0.0
1,1,1.0,1,0.0
3,3,1.0,1,0.0
4,4,1.0,1,0.0
2,2,1.0,1,0.0
3,3,1.0,1,0.0
5,9,0.5555555555555556,1,0.0
2,2,1.0,1,0.0
4,4,1.0,1,0.0
3,3,1.0,1,0.0
1,1,1.0,1,0.0
3,4,0.75,1,0.0
3,4,0.75,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
4,4,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
4,4,1.0,2,0.0
3,3,1.0,2,0.0
4,4,1.0,2,0.0
3,3,1.0,2,0.0
1,1,1.0,2,0.0
2,2,1.0,2,0.0
2,2,1.0,2,0.0
1,1,1.0,2,0.0
3,3,1.0,2,0.0
3,3,1.0,2,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
3,3,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
3,4,0.75,1,0.0
3,4,0.75,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
3,4,0.75,1,0.0
3,4,0.75,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
6,9,0.6666666666666666,1,0.0
4,4,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
6,8,0.75,1,0.0
5,9,0.5555555555555556,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
4,4,1.0,1,0.0
1,1,1.0,1,0.0
9,12,0.75,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
5,9,0.5555555555555556,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
4,6,0.6666666666666666,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
4,6,0.6666666666666666,1,0.0
1,1,1.0,1,0.0
11,24,0.4583333333333333,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
4,4,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
2,2,1.0,1,0.0
2,2,1.0,1,0.0
3,4,0.75,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
3,3,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
12,24,0.5,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
5,6,0.8333333333333334,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
5,9,0.5555555555555556,1,0.0
5,6,0.8333333333333334,1,0.0
11,20,0.55,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
2,2,1.0,1,0.0
5,6,0.8333333333333334,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
3,4,0.75,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
4,4,1.0,1,0.0
2,2,1.0,1,0.0
2,2,1.0,1,0.0
2,2,1.0,1,0.0
2,2,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
4,4,1.0,1,0.0
2,2,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
4,4,1.0,1,0.0
8,20,0.4,1,0.0
2,2,1.0,1,0.0
8,9,0.8888888888888888,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
3,4,0.75,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
4,6,0.6666666666666666,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
4,6,0.6666666666666666,1,0.0
6,9,0.6666666666666666,1,0.0
4,6,0.6666666666666666,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
16,35,0.45714285714285713,1,0.0
1,1,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
1,1,1.0,1,0.0
2,2,1.0,1,0.0
2,2,1.0,1,0.0
4,4,1.0,2,0.0
3,3,1.0,2,0.0
4,4,1.0,2,0.0
1,1,1.0,2,0.0
2,2,1.0,2,0.0
2,2,1.0,2,0.0
1,1,1.0,2,0.0
1,1,1.0,2,0.0
1,1,1.0,2,0.0
1,1,1.0,2,0.0
1,1,1.0,2,0.0
3,4,0.75,2,0.0
3,3,1.0,2,0.0
4,4,1.0,2,0.0
4,4,1.0,2,0.0
4,4,1.0,2,0.0
3,3,1.0,2,0.0
4,4,1.0,2,0.0
4,4,1.0,2,0.0
3,4,0.75,2,0.0
1,1,1.0,2,0.0
1,1,1.0,2,0.0
5,6,0.8333333333333334,1,0.0
1,1,1.0,1,0.0
